go_acc	go_domain
GO:0002479	biological_process
GO:0002480	biological_process
GO:0002481	biological_process
GO:0002485	biological_process
GO:0002486	biological_process
GO:0002489	biological_process
GO:0002495	biological_process
GO:0002502	biological_process
GO:0002503	biological_process
GO:0002504	biological_process
GO:0002506	biological_process
GO:0002507	biological_process
GO:0002508	biological_process
GO:0002509	biological_process
GO:0002513	biological_process
GO:0002517	biological_process
GO:0002518	biological_process
GO:0002519	biological_process
GO:0002520	biological_process
GO:0002521	biological_process
GO:0002522	biological_process
GO:0002523	biological_process
GO:0002526	biological_process
GO:0002528	biological_process
GO:0002532	biological_process
GO:0002534	biological_process
GO:0002536	biological_process
GO:0002537	biological_process
GO:0002540	biological_process
GO:0002541	biological_process
GO:0002542	biological_process
GO:0002543	biological_process
GO:0002544	biological_process
GO:0002548	biological_process
GO:0002551	biological_process
GO:0002553	biological_process
GO:0002554	biological_process
GO:0002566	biological_process
GO:0002572	biological_process
GO:0002573	biological_process
GO:0002576	biological_process
GO:0002578	biological_process
GO:0002581	biological_process
GO:0002587	biological_process
GO:0002588	biological_process
GO:0002590	biological_process
GO:0002605	biological_process
GO:0002606	biological_process
GO:0002617	biological_process
GO:0002622	biological_process
GO:0002625	biological_process
GO:0002626	biological_process
GO:0002634	biological_process
GO:0002635	biological_process
GO:0002636	biological_process
GO:0002637	biological_process
GO:0002638	biological_process
GO:0002639	biological_process
GO:0002642	biological_process
GO:0002643	biological_process
GO:0002644	biological_process
GO:0002645	biological_process
GO:0002651	biological_process
GO:0002652	biological_process
GO:0002663	biological_process
GO:0002664	biological_process
GO:0002666	biological_process
GO:0002667	biological_process
GO:0002669	biological_process
GO:0002673	biological_process
GO:0002674	biological_process
GO:0002675	biological_process
GO:0002676	biological_process
GO:0002677	biological_process
GO:0002678	biological_process
GO:0002679	biological_process
GO:0002682	biological_process
GO:0002683	biological_process
GO:0002684	biological_process
GO:0002685	biological_process
GO:0002686	biological_process
GO:0002687	biological_process
GO:0002688	biological_process
GO:0002689	biological_process
GO:0002690	biological_process
GO:0002691	biological_process
GO:0002692	biological_process
GO:0002693	biological_process
GO:0002695	biological_process
GO:0002696	biological_process
GO:0002710	biological_process
GO:0002711	biological_process
GO:0002715	biological_process
GO:0002717	biological_process
GO:0002718	biological_process
GO:0002720	biological_process
GO:0002721	biological_process
GO:0002724	biological_process
GO:0002725	biological_process
GO:0002726	biological_process
GO:0002728	biological_process
GO:0002729	biological_process
GO:0002730	biological_process
GO:0002731	biological_process
GO:0002732	biological_process
GO:0002735	biological_process
GO:0002737	biological_process
GO:0002739	biological_process
GO:0002740	biological_process
GO:0002741	biological_process
GO:0002752	biological_process
GO:0002753	biological_process
GO:0002755	biological_process
GO:0002756	biological_process
GO:0002757	biological_process
GO:0002758	biological_process
GO:0002759	biological_process
GO:0002760	biological_process
GO:0002762	biological_process
GO:0002763	biological_process
GO:0002764	biological_process
GO:0002765	biological_process
GO:0002767	biological_process
GO:0002768	biological_process
GO:0002769	biological_process
GO:0002774	biological_process
GO:0002778	biological_process
GO:0002787	biological_process
GO:0002790	biological_process
GO:0002792	biological_process
GO:0002793	biological_process
GO:0002803	biological_process
GO:0002812	biological_process
GO:0002818	biological_process
GO:0002819	biological_process
GO:0002820	biological_process
GO:0002821	biological_process
GO:0002826	biological_process
GO:0002827	biological_process
GO:0002828	biological_process
GO:0002829	biological_process
GO:0002830	biological_process
GO:0002838	biological_process
GO:0002839	biological_process
GO:0002840	biological_process
GO:0002842	biological_process
GO:0002845	biological_process
GO:0002851	biological_process
GO:0002857	biological_process
GO:0002859	biological_process
GO:0002860	biological_process
GO:0002862	biological_process
GO:0002863	biological_process
GO:0002865	biological_process
GO:0002866	biological_process
GO:0002875	biological_process
GO:0002876	biological_process
GO:0002878	biological_process
GO:0002879	biological_process
GO:0002882	biological_process
GO:0002885	biological_process
GO:0002891	biological_process
GO:0002897	biological_process
GO:0002902	biological_process
